ids,labels,parents,sector_color,app_ids,app_labels,app_parents,app_color,,node_label,node_color,link_source,link_target,link_label,link_color,value,app_description,sector_description
de-int-int-batch,Batch / ETL Processing,de-int-int,teal,de-en-cn-rnc-nw,Nexus Switch,de-en-cn-rnc,indigo,,,,15,13,Flat File,royalblue,1,,Batch / ETL Processing
de-int-int-edi,Electronic Data Interchange (EDI),de-int-int,teal,es-ecm-eg,e-Greeting,es-ecm,lightyellow,,,,20,15,Shared DB (SQL),sandybrown,1,,Electronic Data Interchange (EDI)
de-int-int-sftp,SFTP,de-int-int,teal,cs-lcs-wbp,Whistle Blowing Portal,cs-lcs,lightyellow,,,,30,128,WS (XML),crimson,1,,SFTP
de-int-int-mi,Market Interfaces,de-int-int,teal,cs-lcs-wbcm,Whistle Blowing Case Management,cs-lcs,lightyellow,,,,19,15,FTP (CSV),teal,1,,Market Interfaces
de-int-int-pi,Plant (Asset) Interfaces,de-int-int,teal,iis-isd-itsm-spr,SAP Password Reset,iis-isd-itsm,lightyellow,,,,15,16,Manual (CSV),teal,1,,Plant (Asset) Interfaces
de-int-iot,IoT,de-int,olivedrab,de-int-int-sftp-cms,Customer Management System FTP Server,de-int-int-sftp,lightyellow,,,,16,15,email,teal,1,,IoT
de-int-iot-dg,IoT / Device Gateway,de-int-iot,teal,de-int-int-mi-emc,EMC (External),de-int-int-mi,lightyellow,,,,130,129,Custom Connector (Batch),crimson,1,,IoT / Device Gateway
de-int-iot-ec,Edge Controller,de-int-iot,teal,de-int-int-mi-kf,KrisFlyer,de-int-int-mi,lightyellow,,,,131,129,,crimson,1,,Edge Controller
de-int-iot-dm,Device Management,de-int-iot,teal,de-int-int-mi-pg,Payment Gateway (Ext),de-int-int-mi,lightyellow,,,,132,129,,crimson,1,,Device Management
de-int-iot-cep,Complex Event Processing (Device Data),de-int-iot,teal,de-int-int-mi-sp,Singpost,de-int-int-mi,lightyellow,,,,129,14,,crimson,1,,Complex Event Processing (Device Data)
de-en,Enterprise Network,de,seagreen,mer-bo-ss-pss,Power Settlement System,mer-bo-ss,lightyellow,,,,13,88,API / WS,peru,1,,Enterprise Network
de-en-dev,Device,de-en,olivedrab,mer-bo-ers-sbf,SUT Billing File,mer-bo-ers,lightyellow,,,,133,12,API / WS,teal,1,,Device
de-en-dev-dm,"Digital Meters (AMR, Smart)",de-en-dev,teal,de-int-int-mi-sps,SP Systems Interfact,de-int-int-mi,lightyellow,,,,133,88,API / WS,teal,1,,"Digital Meters (AMR, Smart)"
de-en-dev-iiot,Industrial IoT Devices,de-en-dev,teal,aomo-ao-apm-ava,AMS Vibration Analyser CSI 2140,aomo-ao-apm,silver,,,,12,133,API / WS,brown,1,,Industrial IoT Devices
de-en-dev-ccommercial,Commercial IoT,de-en-dev,teal,aomo-ao-apm-fsd,F&S Data Collector,aomo-ao-apm,lightyellow,,,,88,133,API / WS,brown,1,,Commercial IoT
de-en-dev-ciot,Consumer IoT Devices,de-en-dev,teal,de-int-int-mi-fas,External - Forecasting Agencies Systems,de-int-int-mi,lightyellow,,,,43,134,API / WS (JSON),peru,1,,Consumer IoT Devices
de-en-cn,Comms Network,de-en,olivedrab,aomo-aop-osem-zee,Zenon Energy Edition Server,aomo-aop-osem,lightyellow,,,,134,43,API / WS (JSON),peru,1,,Comms Network
de-en-cn-wnc,Wireless Network Comms,de-en-cn,teal,aomo-aop-ics-sip,Solar Invertor PLC,aomo-aop-ics,silver,,,,135,136,Shared DB (SQL),brown,1,,Wireless Network Comms
de-en-cn-knc,Wired Network Comms,de-en-cn,teal,aomo-ao-apm-ldd,Lidar Data Downloader,aomo-ao-apm,lightyellow,,,,137,138,Manual (CSV),teal,1,Console Application - Download the data from Lidar log and stored into FTP,Wired Network Comms
de-en-cn-rnc,Routing and Switching,de-en-cn,teal,aomo-ao-apm-lda,Lidar Data Aggregation,aomo-ao-apm,lightyellow,,,,82,139,XML,teal,1,Windows Application - Derive 10 min aggregated date from 1 sec Lidar data,Routing and Switching
de-en-cn-ndm,Network Device Management,de-en-cn,teal,aomo-ao-apm-lis,LiDAR Sensor,aomo-ao-apm,silver,,,,140,43,Flat File (Batch),crimson,1,LiDAR Sensor,Network Device Management
,,,,aomo-ao-apm-ida,Inverter Data Auto Downloader,aomo-ao-apm,lightyellow,,,,141,22,API / WS,crimson,,"Console Application - Download data from Solar Panels. 
Download the data from inverter log and stored into site server automatically for all Solar sites (BAP&MERVADAR)",
,,,,cs-hr-hcm-snet,SAP ESS/MSS SAP NetWeaver 7.5,cs-hr-hcm,lightyellow,,,,142,141,API / WS,crimson,,"SAP ESS/MSS is Employee Self Service and Manager Self Service, which is the web enabled tool used by employees.",
,,,,aomo-aop-dcs-coweb,Cogenweb,aomo-aop-dcs,lightyellow,,,,142,122,TCP/IP,crimson,,"Hosts Cogen apps like plant statistics, EMC data to blackberry",
,,,,aomo-aop-osem-sch,Schneider PACiS SCADA 4.8.17 PP3,aomo-aop-osem,lightyellow,,,,,,,,,"For Switchyard automation, control and monitoring from local/remote",
,,,,de-int-int-mi-gst,Goods Service Tax Network,de-int-int-mi,lightyellow,,,,,,,,,India's GST Network,
,,,,cs-psc-scm-wms,Warehouse Management System,cs-psc-scm,lightyellow,,,,,,,,,,
,,,,de-int-int-mi-eew,EE Website,de-int-int-mi,lightyellow,,,,,,,,,,
,,,,de-int-int-mi-amex,AMEX - UK,de-int-int-mi,lightyellow,,,,,,,,,,
,,,,aomo-aop-eam-gho,Gasboy Head Office 6.4.413.007,aomo-aop-eam,lightyellow,,,,,,,,,Head office application for fleet and fuel management.,
,,,,aomo-aop-ics-wtp,Wind Turbine PLC Regen,aomo-aop-ics,silver,,,,,,,,,,
,,,,aomo-aop-wms,ANPR 1.0,aomo-aop-wms,lightyellow,,,,,,,,,Automated Name Plate Recognition,
,,,,aomo-aop-eam-max,Maximo ,aomo-aop-eam,lightyellow,,,,,,,,,Purchasing and Maintenance tool,
,,,,de-cs-di-casb-casb,Cloud Application Security Broker,de-cs-di-casb,indigo,,,,,,,,,Visibility and Control on SaaS,
,,,,de-cs-di-iam-cark,CyberArk 10.0,de-cs-di-iam,indigo,,,,,,,,,Priviliged password management solution,
