ids,labels,parents,sector_color,app_ids,app_labels,app_parents,app_color,,node_label,node_color,link_source,link_target,link_label,link_color,value,app_description,sector_description
mer-mo-mf,Market Forecasting,mer-mo,wheat,aomo-aop-dcs-ncip,NCIP Water - DCS v. XDC800,aomo-aop-dcs,lightyellow,,SAP MM v. SAP ERP 6.0 EhP8,peru,42,48,Custom Connector,teal,1,NCIP Water - DCS v. XDC800,Market Forecasting
mer-mo-to,Trade Optimisation,mer-mo,wheat,aomo-aop-dcs-nss,NSS - DCS v. XDC800,aomo-aop-dcs,lightyellow,,Cognos Controller v. 10.3.1,crimson,10,50,WS (XML),peru,1,NSS - DCS v. XDC800,Trade Optimisation
mer-bo,Back Office,mer,sandybrown,aomo-aop-dcs-sakc,Sakra Cogen - DCS v. 1.0,aomo-aop-dcs,lightyellow,,Faxmaker v. 16.0,peru,20,57,"Shared DB (SQL), Flat File, WS (XML) ",sandybrown,1,"Hosts Cogen apps like plant statistics, EMC data to blackberry",Back Office
mer-bo-ss,24h Settlements System,mer-bo,wheat,aomo-aop-dcs-sakd,Sakra Demin - DCS v. NA,aomo-aop-dcs,lightyellow,,C2SAPLite v. 1.0,blue,57,13,"WS (SOAP, XML)",royalblue,1,Sakra Demin - DCS v. NA,24h Settlements System
mer-bo-ers,Energy Reconciliation and Settlement,mer-bo,wheat,aomo-aop-dcs-sake,Sakra ERP - DCS v. 500,aomo-aop-dcs,lightyellow,,SAP Ariba v. 14s,orchid,43,59,API,peru,1,Sakra ERP - DCS v. 500,Energy Reconciliation and Settlement
mer-bo-fpr,Financial and Performance Reporting,mer-bo,wheat,aomo-aop-dcs-saki,Sakra IWWT - DCS v. 7,aomo-aop-dcs,lightyellow,,Dell Boomi,teal,13,59,,peru,1,Sakra IWWT - DCS v. 7,Financial and Performance Reporting
mer-bo-trc,Trading Risk and Compliance Management,mer-bo,wheat,aomo-aop-dcs-saks,Sakra SUT - DCS v. TPS3000,aomo-aop-dcs,lightyellow,,Sembcorp OTUJ - Backend Administrative Portal v. 1.0,peru,10,59,API,peru,1,Sakra SUT - DCS v. TPS3000,Trading Risk and Compliance Management
mer-bo-tms,Treasury Management System,mer-bo,wheat,aomo-aop-dcs-saksv,Sakra SVC - DCS v. NA,aomo-aop-dcs,lightyellow,,Sembcorp OTUJ v. 1.3,peru,59,60,Shared DB (SQL),brown,1,Sakra SVC - DCS v. NA,Treasury Management System
aomo,"Asset Operations, Maintenance and Optimisation",,darkred,aomo-aop-dcs-ser,Seraya Incineration - DCS v. 6,aomo-aop-dcs,lightyellow,,Robotic Process Automation v. 1,lightslategray,52,52,,teal,1,Seraya Incineration - DCS v. 6,"Asset Operations, Maintenance and Optimisation"
aomo-ap,Asset Planning,aomo,firebrick,aomo-aop-dcs-wb,Woodchip boiler - DCS v. NA,aomo-aop-dcs,lightyellow,,Contact Management System v. 1.0,teal,53,53,,teal,1,Woodchip boiler - DCS v. NA,Asset Planning
aomo-ap-qm,Quality Management,aomo-ap,crimson,aomo-aop-dcs-zjg,ZJG - DCS v. 5.3+sp3,aomo-aop-dcs,lightyellow,,Contact Management System v. 1.1,teal,54,54,,crimson,1,ZJG - DCS v. 5.3+sp3,Quality Management
aomo-ap-crp,Capacity Resources Planning,aomo-ap,crimson,aomo-aop-ims-cmm,Compactor Management Mobile App v. 1,aomo-aop-ims,lightyellow,,Incident Management System,crimson,55,55,,tomato,1,Compactor Management Mobile App: The mobile app is used by compactor supervisors and technicans to update on the services done to the compactors and/or dust drums,Capacity Resources Planning
aomo-ap-mps,Master Production Scheduling,aomo-ap,crimson,aomo-aop-wms-npr,NPR v. 1.0,aomo-aop-wms,lightyellow,,IT Services Management System 1.0,tomato,56,56,,peru,1,NPR v. 1.0,Master Production Scheduling
aomo-aop,Asset Operations & Maintenance,aomo,firebrick,aomo-aop-wms-wms,Workforce Management System v. 1.0,aomo-aop-wms,lightyellow,,Global HSE Information System v. 1.0,peru,58,58,,lightslategray,1,"Workforce Management System (WMS) allows for the monitoring, controlling, traceability and accountability of all work activities and management of assets performed by contractors. It incorporates a RFID Key Management Solution (KMS) and GPS Tracker System capable of handling 400 keys and up to 40 Contractor teams",Asset Operations & Maintenance
aomo-aop-eam,Enterprise Asset Management,aomo-aop,crimson,aomo-aop-psp-vms,Visitor Management System v. 1,aomo-aop-psp,lightyellow,,Customer Utility Billing & Experience Management v. 1.0,royalblue,61,63,Shared DB (SQL),peru,1,Visitor Management System v. 1,Enterprise Asset Management
aomo-aop-cmms,Computerised Maintenance Management Systems,aomo-aop,crimson,aomo-aop-hs-can,Scannell v. 1.0,aomo-aop-hs,lightyellow,,Board Papers Apps v. 1.0,lightslategray,61,62,Shared DB (SQL),peru,1,Safety Incident Management System,Computerised Maintenance Management Systems
aomo-aop-slm,Site Logistics Management,aomo-aop,crimson,aomo-ao-apm-msm,AMS Machinery v. 5.7,aomo-ao-apm,lightyellow,,KOLA v. 1.0,brown,2,7,Custom Connector,crimson,1,AMS Machinery v. 5.7: Integrates multiple predictive maintenance techniques with comprehensive analysis tools to provide easy and accurate assessment of the machinery health across different types of mechanical assets in your facility.,Site Logistics Management
aomo-aop-rio,Remote / Integrated Operation Center,aomo-aop,crimson,aomo-ao-apm-lgams,LGAMS v. 10.4.5.1,aomo-ao-apm,lightyellow,,Tableau Reporting Dashboard v. 10.3.2,yellow,8,5,,crimson,1,LGAMS v. 10.4.5.1: Plant performance and condition monitoring system,Remote / Integrated Operation Center
aomo-aop-fft,Field Force Tools & Apps,aomo-aop,crimson,aomo-ao-apm-tdd,Turbine Data Downloader v. 2.0.0,aomo-ao-apm,lightyellow,,Career Centre Admin v. 1.0,peru,6,5,,crimson,1,Turbine Data Downloader v. 2.0.0,Field Force Tools & Apps
aomo-aop-wms,Workforce Management System,aomo-aop,crimson,aomo-ao-apm-vbw,Virtual Brain Water v. 2.0,aomo-ao-apm,lightyellow,,Career Centre Internal v. 1.0,peru,20,17,,sandybrown,1,"Virtual Brain Water v. 2.0: An application that aims to digitize the process of data collection and analysis to assist the water plants to attain transparency, effectiveness and efficiency",Workforce Management System
aomo-aop-fm,Facility Monitoring,aomo-aop,crimson,cpm-eppm-eat,Enterprise Architecture Tool v. 1.0,cpm-eppm,lightyellow,,Career Centre Public v. 1.0,peru,30,15,Shared DB (SQL),wheat,1,Enterprise Architecture Tool v. 1.0,Facility Monitoring
aomo-aop-dcs,Distributed Control Management,aomo-aop,crimson,cpm-spm-apa,SAP Ariba v. 14s,cpm-spm,lightyellow,,"Nomination, Allocation Billing System v. 1",royalblue,64,17,Shared DB (SQL),royalblue,1,"SAP Ariba v. 14s: E-Procurement System by GVCM for Global Procurement - Supplier Management, Sourcing, & Contract Management",Distributed Control Management
aomo-aop-ics,Industrial Control System,aomo-aop,crimson,cs-fin-fin-sap,C2SAPLite v. 1.0,cs-fin-fin,lightyellow,,Solar Data DB,royalblue,65,15,Shared DB (SQL),royalblue,1,C2SAPLite v. 1.0: Secure FTP Transfer the encrpyted payroll and vendor payment files from SAP to HSBC Connect (host-to-host),Industrial Control System
aomo-aop-hist,Historian,aomo-aop,crimson,cs-fin-fin-cap,"CAPEX Purchase, Fixed Asset Disposal, CAPEX Replacement eform v. 1.0",cs-fin-fin,lightyellow,,Investment Risk Exposure v. 1.0,peru,63,38,XML,peru,1,"CAPEX Purchase, Fixed Asset Disposal, CAPEX Replacement eform v. 1.0: An eForm for purchase request, replacement and disposal",Historian
aomo-aop-osem,Other Scada Control System,aomo-aop,crimson,cs-fin-fin-cog,Cognos Controller v. 10.3.1,cs-fin-fin,lightyellow,,Sustainability Data Management System v. 8.4,peru,66,66,,peru,1,Cognos Controller v. 10.3.1: Cognos Controller is the IBM software used by all Sembcorp subsidiaries to submit periodic financial data to Group Reporting & Policies for consolidation,Other Scada Control System
aomo-aop-em,Environment Monitoring,aomo-aop,crimson,cs-fin-fin-cub,Customer Utility Billing & Experience Management v. 1.0,cs-fin-fin,lightyellow,,Company Profile and Shareholding Database System v. 1.0,brown,67,67,,peru,1,Customer Utility Billing & Experience Management v. 1.0: Customer Management and billing system for Sembcorp OEM Customers (Resi and SME),Environment Monitoring
aomo-aop-osm,Outage Scheduling and Management,aomo-aop,crimson,cs-fin-fin-ef,Exception Form v. 1.0,cs-fin-fin,lightyellow,,Scholarship.net v. 1.0,peru,68,68,,brown,1,Exception Form v. 1.0,Outage Scheduling and Management
aomo-aop-ims,Inspections Management Systems,aomo-aop,crimson,cs-fin-fin-fax,Faxmaker v. 16.0,cs-fin-fin,lightyellow,,Annual Declaration Form v. 1.0,green,69,69,,peru,1,"Faxmaker v. 16.0: Faxmaker is the software that help to send correspondences generated by SAP as faxes to external parties. It also allow users to monitor the status of fax sending. Example of correspondences that we are currently sending are: payment advice, statement of account, dunning letters, etc",Inspections Management Systems
aomo-aop-psp,Plant Security (Physical),aomo-aop,crimson,cs-fin-fin-fat,Fixed Asset Transfer eform v. 1.0,cs-fin-fin,lightyellow,,Non-Audit Services Report Consolidation v. 1.0,wheat,9,70,Shared DB (SQL),peru,1,Fixed Asset Transfer eform v. 1.0: An eForm for fixed asset transfer,Plant Security (Physical)
aomo-aop-epr,Emergency Prevention & Response Management,aomo-aop,crimson,cs-fin-fin-ire,Investment Risk Exposure v. 1.0,cs-fin-fin,lightyellow,,Sembcorp Portal v. SharePoint 2013,lightslategray,71,71,,wheat,1,Investment Risk Exposure v. 1.0: A platform to compile the Group’s Country Risk Exposure from investment in various entities from submission by respective SBUs on a quarterly basis and provide an update to Group Risk Management on the Group’s country risk exposure on a quarterly basis,Emergency Prevention & Response Management
aomo-aop-gis,Geographic Information System (GIS),aomo-aop,crimson,cs-fin-fin-mb,Mobile Bills v. 1.0,cs-fin-fin,lightyellow,,"CAPEX Purchase, Fixed Asset Disposal, CAPEX Replacement eform v. 1.0",peru,73,72,Shared DB (SQL),peru,1,Mobile Bills v. 1.0,Geographic Information System (GIS)
aomo-aop-hs,Health and Safety,aomo-aop,crimson,cs-fin-fin-nas,Non-Audit Services Report Consolidation v. 1.0,cs-fin-fin,lightyellow,,Fixed Asset Transfer eform v. 1.0,peru,74,72,Shared Db (SQL),peru,1,Non-Audit Services Report Consolidation v. 1.0: A system used by Group Reporting & Policies and BU Finance for Non Audit Services reporting consolidation,Health and Safety
aomo-aop-sm,Shift Management,aomo-aop,crimson,cs-fin-fin-pre,Payment Request eform v. 1.0,cs-fin-fin,lightyellow,,Project Portal (Intranet) v. SharePoint 2013,lightslategray,75,75,,lightslategray,1,Payment Request eform v. 1.0: An eForm for payment request,Shift Management
aomo-aop-cm,Contractor Management,aomo-aop,crimson,cs-fin-fin-sbw,SAP Business Warehouse  Business Planning and Consolidation v. BPC 810 SP7,cs-fin-fin,lightyellow,,Department Portal (Intranet) v. SharePoint 2013,lightslategray,76,76,,lightslategray,1,SAP Business Warehouse  Business Planning and Consolidation v. BPC 810 SP7,Contractor Management
aomo-ao,Asset Optimisation,aomo,firebrick,cs-fin-fin-sfs,SAP FICO v. SAP ERP 6.0 EhP8,cs-fin-fin,lightyellow,,Project Portal (Online) v. SharePoint Online,lightslategray,77,77,,lightslategray,1,"SAP FICO v. SAP ERP 6.0 EhP8: FICO is the Financial and Controlling module. It includes the following function:General Ledger (GL), Accounts Payable (AP), Accounts Receivable (AR), Asset Accounting (AA), Special Purpose Ledger (SPL), Cost Centre Accounting (CCA), Profit Centre Accounting (PCA), Internal Order (IO), Fund Management (FM), Parallel Currency – SembGas only",Asset Optimisation
aomo-ao-apm,Asset Performance Management,aomo-ao,crimson,cs-fin-fin-svim,SAP VIM v. 7.5,cs-fin-fin,lightyellow,,Department Portal (Online) v. SharePoint Online,lightslategray,78,35,Custom Connector,lightslategray,1,"SAP VIM v. 7.5: VIM is Vendor Invoice Management module. It is to process invoice from scanning, data validation, invoice exception handling, invoice approval and invoice posting",Asset Performance Management
aomo-ao-dt,Digital Twin,aomo-ao,crimson,cs-fin-bpc-apbw,SAP Business Warehouse  Business Planning and Consolidation v. BPC 810 SP7,cs-fin-bpc,lightyellow,,Sembcorp Media Gallery v. SharePoint 2013,lightslategray,79,79,,lightslategray,1,SAP Business Warehouse Business Planning and Consolidation v. BPC 810 SP7,Digital Twin
aomo-ao-ao,Asset Optimisation,aomo-ao,crimson,cs-hr-hcm-cca,Career Centre Admin v. 1.0,cs-hr-hcm,lightyellow,,SAP Business Warehouse  Business Planning and Consolidation v. BPC 810 SP7,peru,43,13,Shared DB (SQL),peru,1,Career Centre Admin v. 1.0: A system for HR admin to post job vacancy on www.sembcorp.com or/and Intranet,Asset Optimisation
aomo-ao-ads,Automated Decision Support,aomo-ao,crimson,cs-hr-hcm-cci,Career Centre Internal v. 1.0,cs-hr-hcm,lightyellow,,Bank (External),teal,80,13,API,peru,1,Career Centre Internal v. 1.0: A system for HR admin to post job vacancy on www.sembcorp.com or/and Intranet,Automated Decision Support
aomo-dem,Distributed Energy Management,aomo,firebrick,cs-hr-hcm-ccp,Career Centre Public v. 1.0,cs-hr-hcm,lightyellow,,PCard v. 1.0,peru,1,13,Flat File,sandybrown,1,Career Centre Public v. 1.0: A system for HR admin to post job vacancy on www.sembcorp.com or/and Intranet.,Distributed Energy Management
aomo-dem-derms,Distributed Energy Resources Management (DERMS),aomo-dem,crimson,cs-hr-hcm-ecd,Employee Common Database v. 1.0,cs-hr-hcm,lightyellow,,Property Management System (Mysoft) v. 3.0.7,royalblue,81,13,Flat File,teal,1,Employee Common Database v. 1.0,Distributed Energy Resources Management (DERMS)
aomo-dem-drms,Demand Response Management System (DRMS),aomo-dem,crimson,cs-hr-hcm-esps,Employee Share Plans System v. 1.0,cs-hr-hcm,lightyellow,,MIS 2.0  v. 2.0,royalblue,82,13,Flat File,peru,1,Employee Share Plans System v. 1.0: A System for HR to manage shares granted to staffs prior to RSP and PSP,Demand Response Management System (DRMS)
aomo-dem-df,Deman Forecasting,aomo-dem,crimson,cs-hr-hcm-hrss,HR Self-service Kiosk v. 1,cs-hr-hcm,lightyellow,,MIS 3.0  (Pufeite) v. 3.0,royalblue,42,13,Shared DB (SQL),peru,1,HR Self Service Kiosk: The kiosk system allows direct labours to login to the system to view their leaves and payslips. appraisal acknowledgement will also be done through the kiosk,Deman Forecasting
